date,open,high,low,close,volume
2017-12-28,63.34,63.5,62.6001,63.4,3109529
2017-12-29,63.59,63.83,63.12,63.32,3218031
2018-01-02,63.54,64.67,63.37,64.31,5138815
2018-01-03,64.55,65.745,64.3955,65.31,4383944
2018-01-04,65.75,65.87,64.36,64.66,3919811
2018-01-05,64.88,66.47,64.49,66.37,4999128
2018-01-08,66.49,67.27,65.65,66.63,4622445
2018-01-09,66.75,66.75,64.9,66.19,5995943
2018-01-10,65.93,66.94,65.78,66.83,4504020
2018-01-11,68.29,69.33,67.23,69.24,8176290
2018-01-12,69.7,70.71,69.05,70.36,8021879
2018-01-16,70.92,71.18,68.4,68.71,5371714
2018-01-17,69.97,70.82,68.79,70.36,7076063
2018-01-18,70.11,70.725,69.17,69.8,5620207
2018-01-19,70.22,70.84,69.48,70.57,5210041
2018-01-22,70.45,71.4,69.68,71.3,3862712
2018-01-23,71.32,72.3651,71.15,71.55,5194898
2018-01-24,71.66,71.9,69.88,70.08,9137394
2018-01-25,70.6,71.2,69.95,70.82,4676928
2018-01-26,71.34,72.59,70.755,72.52,5748494
2018-01-29,72.5,72.68,71.7,72.45,7863823
2018-01-30,71.435,71.88,70.7276,71.61,5284585
2018-01-31,72.96,74.945,72.96,74.13,7058952
2018-02-01,73.48,74.24,73.16,73.35,5136990
2018-02-02,72.66,72.96,71.38,71.42,6198415
2018-02-05,70.54,71.13,66.91,67.98,10160732
2018-02-06,66.0,69.84,65.72,69.7,10524316
2018-02-07,69.62,70.86,69.43,69.46,6255211
2018-02-08,69.63,69.79,65.76,65.83,11179322
2018-02-09,66.99,67.78,63.32,67.08,18582250
2018-02-12,67.16,69.2,67.16,68.32,8315677
2018-02-13,67.96,68.21,67.18,68.03,5373597
2018-02-14,67.21,69.9,67.11,69.65,7197634
2018-02-15,70.0,72.07,69.05,71.99,6182546
2018-02-16,71.96,72.1252,69.79,70.19,6497699
2018-02-20,69.97,71.29,69.75,70.84,5386393
2018-02-21,70.9,71.84,70.22,70.22,5555734
